read_id	nh
ILLUMINA-075005_0053_FC:3:1:5150:1090#0	1
ILLUMINA-075005_0053_FC:3:1:6584:1088#0	1
ILLUMINA-075005_0053_FC:3:1:7386:1084#0	1
ILLUMINA-075005_0053_FC:3:1:7561:1094#0	1
ILLUMINA-075005_0053_FC:3:1:8545:1084#0	1
ILLUMINA-075005_0053_FC:3:1:8707:1084#0	1
ILLUMINA-075005_0053_FC:3:1:8837:1088#0	1
ILLUMINA-075005_0053_FC:3:1:9607:1090#0	1
ILLUMINA-075005_0053_FC:3:1:10464:1088#0	1
ILLUMINA-075005_0053_FC:3:1:10651:1094#0	1
ILLUMINA-075005_0053_FC:3:1:10977:1093#0	1
ILLUMINA-075005_0053_FC:3:1:10996:1084#0	1
ILLUMINA-075005_0053_FC:3:1:11162:1085#0	1
ILLUMINA-075005_0053_FC:3:1:11316:1091#0	1
ILLUMINA-075005_0053_FC:3:1:11356:1088#0	1
ILLUMINA-075005_0053_FC:3:1:11723:1083#0	1
ILLUMINA-075005_0053_FC:3:1:11743:1083#0	1
ILLUMINA-075005_0053_FC:3:1:11849:1088#0	1
ILLUMINA-075005_0053_FC:3:1:11870:1083#0	1
ILLUMINA-075005_0053_FC:3:1:11897:1094#0	1
ILLUMINA-075005_0053_FC:3:1:12157:1084#0	1
ILLUMINA-075005_0053_FC:3:1:12622:1088#0	1
ILLUMINA-075005_0053_FC:3:1:12657:1085#0	1
ILLUMINA-075005_0053_FC:3:1:13123:1091#0	1
ILLUMINA-075005_0053_FC:3:1:13208:1083#0	1
ILLUMINA-075005_0053_FC:3:1:13743:1093#0	1
ILLUMINA-075005_0053_FC:3:1:14111:1093#0	1
ILLUMINA-075005_0053_FC:3:1:14759:1087#0	1
ILLUMINA-075005_0053_FC:3:1:15564:1083#0	1
ILLUMINA-075005_0053_FC:3:1:16047:1093#0	1
ILLUMINA-075005_0053_FC:3:1:16125:1086#0	1
ILLUMINA-075005_0053_FC:3:1:16272:1088#0	1
ILLUMINA-075005_0053_FC:3:1:16741:1085#0	1
ILLUMINA-075005_0053_FC:3:1:16866:1085#0	1
ILLUMINA-075005_0053_FC:3:1:17263:1083#0	1
ILLUMINA-075005_0053_FC:3:1:17492:1083#0	1
ILLUMINA-075005_0053_FC:3:1:18375:1084#0	1
ILLUMINA-075005_0053_FC:3:1:18691:1091#0	1
ILLUMINA-075005_0053_FC:3:1:18794:1091#0	1
ILLUMINA-075005_0053_FC:3:1:18876:1082#0	1
ILLUMINA-075005_0053_FC:3:1:19126:1092#0	1
ILLUMINA-075005_0053_FC:3:1:19649:1085#0	1
ILLUMINA-075005_0053_FC:3:1:19725:1091#0	1
ILLUMINA-075005_0053_FC:3:1:2037:1100#0	1
ILLUMINA-075005_0053_FC:3:1:3621:1099#0	1
ILLUMINA-075005_0053_FC:3:1:3887:1103#0	1
ILLUMINA-075005_0053_FC:3:1:4256:1098#0	1
ILLUMINA-075005_0053_FC:3:1:4305:1102#0	1
ILLUMINA-075005_0053_FC:3:1:4466:1095#0	1
ILLUMINA-075005_0053_FC:3:1:4494:1105#0	1
ILLUMINA-075005_0053_FC:3:1:4665:1096#0	1
ILLUMINA-075005_0053_FC:3:1:4846:1105#0	1
ILLUMINA-075005_0053_FC:3:1:5008:1098#0	1
ILLUMINA-075005_0053_FC:3:1:5085:1104#0	1
ILLUMINA-075005_0053_FC:3:1:5235:1097#0	1
ILLUMINA-075005_0053_FC:3:1:5301:1099#0	1
ILLUMINA-075005_0053_FC:3:1:5406:1105#0	1
ILLUMINA-075005_0053_FC:3:1:5613:1096#0	1
ILLUMINA-075005_0053_FC:3:1:5822:1095#0	1
ILLUMINA-075005_0053_FC:3:1:6113:1098#0	1
ILLUMINA-075005_0053_FC:3:1:6160:1097#0	1
ILLUMINA-075005_0053_FC:3:1:6224:1102#0	1
ILLUMINA-075005_0053_FC:3:1:6602:1104#0	1
ILLUMINA-075005_0053_FC:3:1:6869:1102#0	1
ILLUMINA-075005_0053_FC:3:1:6985:1098#0	1
ILLUMINA-075005_0053_FC:3:1:7207:1104#0	1
ILLUMINA-075005_0053_FC:3:1:7429:1100#0	1
ILLUMINA-075005_0053_FC:3:1:7948:1104#0	1
ILLUMINA-075005_0053_FC:3:1:8293:1098#0	1
ILLUMINA-075005_0053_FC:3:1:9285:1097#0	1
ILLUMINA-075005_0053_FC:3:1:9826:1097#0	1
ILLUMINA-075005_0053_FC:3:1:9924:1104#0	1
ILLUMINA-075005_0053_FC:3:1:10841:1101#0	1
ILLUMINA-075005_0053_FC:3:1:11555:1095#0	1
ILLUMINA-075005_0053_FC:3:1:11864:1103#0	1
ILLUMINA-075005_0053_FC:3:1:12018:1095#0	1
ILLUMINA-075005_0053_FC:3:1:12212:1097#0	1
ILLUMINA-075005_0053_FC:3:1:12362:1095#0	1
ILLUMINA-075005_0053_FC:3:1:12675:1100#0	1
ILLUMINA-075005_0053_FC:3:1:12707:1102#0	1
ILLUMINA-075005_0053_FC:3:1:13245:1104#0	1
ILLUMINA-075005_0053_FC:3:1:13298:1097#0	1
ILLUMINA-075005_0053_FC:3:1:14150:1106#0	1
ILLUMINA-075005_0053_FC:3:1:15208:1101#0	1
